"alphaCode_bc","comName","comName_tmp","alphaCode_bc_tmp","speciesCode","comNameCode","bandingCode","sciNameCode","sciName"
"CHSP","Chipping Sparrow","Chipping Sparrow","CHSP","chispa","","CHSP","SPPA","Spizella passerina"
"CHUK","Chukar","Chukar","CHUK","chukar","CHPA","CHUK","ALCH","Alectoris chukar"
"CITE","Cinnamon Teal","Cinnamon Teal","CITE","cintea","","CITE","SPCY","Spatula cyanoptera"
"CLGR","Clark's Grebe","Clark's Grebe","CLGR","clagre","","CLGR","AECL","Aechmophorus clarkii"
"CLNU","Clark's Nutcracker","Clark's Nutcracker","CLNU","clanut","","CLNU","NUCO","Nucifraga columbiana"
"CLSW","Cliff Swallow","Cliff Swallow","CLSW","cliswa","ACSW","CLSW","PEPY","Petrochelidon pyrrhonota"
"CMWA","Cape May Warbler","Cape May Warbler","CMWA","camwar","","CMWA","SETI","Setophaga tigrina"
"COFL","Cordilleran Flycatcher","Cordilleran Flycatcher","COFL","","","","",""
"COGO","Common Goldeneye","Common Goldeneye","COGO","comgol","","COGO","BUCL","Bucephala clangula"
"COGR","Common Grackle","Common Grackle","COGR","comgra","","COGR","QUQU","Quiscalus quiscula"
"COHA","Cooper's Hawk","Cooper's Hawk","COHA","coohaw","","COHA","ACCO","Accipiter cooperii"
"COLO","Common Loon","Common Loon","COLO","comloo","GNDI","COLO","GAIM","Gavia immer"
"COME","Common Merganser","Common Merganser","COME","commer","GOOS","COME","MEME","Mergus merganser"
"COMU","Common Murre","Common Murre","COMU","commur","COGU","COMU","URAA","Uria aalge"
"CONI","Common Nighthawk","Common Nighthawk","CONI","comnig","","CONI","CHMI","Chordeiles minor"
"COPO","Common Poorwill","Common Poorwill","COPO","compoo","","COPO","PHNU","Phalaenoptilus nuttallii"
"CORA","Common Raven","Common Raven","CORA","comrav","NORA","CORA","COCO","Corvus corax"
"CORE","Common Redpoll","Common Redpoll","CORE","comred","REDP","CORE","ACFL","Acanthis flammea"
"COTE","Common Tern","Common Tern","COTE","comter","","COTE","STHI","Sterna hirundo"
"COWA","Connecticut Warbler","Connecticut Warbler","COWA","conwar","COWA","CONW","OPAG","Oporornis agilis"
"COYE","Common Yellowthroat","Common Yellowthroat","COYE","comyel","","COYE","GETR","Geothlypis trichas"
"CROW","American or Northwestern Crow","American Crow or Northwestern Crow","CROW","","","","",""
"CSWA","Chestnut-sided Warbler","Chestnut-sided Warbler","CSWA","chswar","","CSWA","SEPE","Setophaga pensylvanica"
"DCCO","Double-crested Cormorant","Double-crested Cormorant","DCCO","doccor","","DCCO","NAAU","Nannopterum auritum"
"DEJU","Dark-eyed Junco","Dark-eyed Junco","DEJU","daejun","","DEJU","JUHY","Junco hyemalis"
"DOWO","Downy Woodpecker","Downy Woodpecker","DOWO","dowwoo","","DOWO","DRPU","Dryobates pubescens"
"DUFL","Dusky Flycatcher","Dusky Flycatcher","DUFL","dusfly","ADFL","DUFL","EMOB","Empidonax oberholseri"
"DUGR","Dusky Grouse","Dusky Grouse","DUGR","dusgro","","DUGR","DEOB","Dendragapus obscurus"
"EAGR","Eared Grebe","Eared Grebe","EAGR","eargre","BNGR","EAGR","PONI","Podiceps nigricollis"
"EAKI","Eastern Kingbird","Eastern Kingbird","EAKI","easkin","","EAKI","TYTY","Tyrannus tyrannus"
"EAPH","Eastern Phoebe","Eastern Phoebe","EAPH","easpho","","EAPH","SAPH","Sayornis phoebe"
"ECDO","Eurasian Collared-Dove","Eurasian Collared-Dove","ECDO","eucdov","CODO ECDO","EUCD","STDE","Streptopelia decaocto"
"EUST","European Starling","European Starling","EUST","eursta","COST","EUST","STVU","Sturnus vulgaris"
"EUWI","Eurasian Wigeon","Eurasian Wigeon","EUWI","eurwig","","EUWI","MAPE","Mareca penelope"
"EVGR","Evening Grosbeak","Evening Grosbeak","EVGR","evegro","","EVGR","COVE","Coccothraustes vespertinus"
"EWWR","Winter Wren","Winter Wren","EWWR","winwre3","AWWR","WIWR","TRHI","Troglodytes hiemalis"
"FEHA","Ferruginous Hawk","Ferruginous Hawk","FEHA","ferhaw","","FEHA","BURE","Buteo regalis"
"FLOW","Flammulated Owl","Flammulated Owl","FLOW","flaowl","","FLOW","PSFL","Psiloscops flammeolus"
"FOSP","Fox Sparrow","Fox Sparrow","FOSP","foxspa","FSSP","FOSP","PAIL","Passerella iliaca"
"FOTE","Forster's Tern","Forster's Tern","FOTE","forter","","FOTE","STFO","Sterna forsteri"
"FRGU","Franklin's Gull","Franklin's Gull","FRGU","fragul","","FRGU","LEPI","Leucophaeus pipixcan"
"FTSP","Fork-tailed Storm-Petrel","Fork-tailed Storm-Petrel","FTSP","ftspet","","FTSP","HYFU","Hydrobates furcatus"
"GADW","Gadwall","Gadwall","GADW","gadwal","","GADW","MAST","Mareca strepera"
"GBHE","Great Blue Heron","Great Blue Heron","GBHE","grbher3","GBWH","GBHE","ARHE","Ardea herodias"
"GCKI","Golden-crowned Kinglet","Golden-crowned Kinglet","GCKI","gockin","","GCKI","RESA","Regulus satrapa"
"GCRF","Gray-crowned Rosy-Finch","Gray-crowned Rosy-Finch","GCRF","gcrfin","","GCRF","LETE","Leucosticte tephrocotis"
"GCSP","Golden-crowned Sparrow","Golden-crowned Sparrow","GCSP","gocspa","","GCSP","ZOAT","Zonotrichia atricapilla"
"GCTH","Gray-cheeked Thrush","Gray-cheeked Thrush","GCTH","gycthr","","GCTH","CAMI","Catharus minimus"
"GGOW","Great Gray Owl","Great Gray Owl","GGOW","grgowl","","GGOW","STNE","Strix nebulosa"
"GHOW","Great Horned Owl","Great Horned Owl","GHOW","grhowl","","GHOW","BUVI","Bubo virginianus"
"GOEA","Golden Eagle","Golden Eagle","GOEA","goleag","","GOEA","AQCH","Aquila chrysaetos"
"GRCA","Gray Catbird","Gray Catbird","GRCA","grycat","","GRCA","DUCA","Dumetella carolinensis"
"GRFL","Gray Flycatcher","Gray Flycatcher","GRFL","gryfly","AGFL","GRFL","EMWR","Empidonax wrightii"
"GRHE","Green Heron","Green Heron","GRHE","grnher","GBHE","GRHE","BUVI","Butorides virescens"
"GRJA","Gray Jay","Gray Jay","GRJA","","","","",""
"GRPA","Gray Partridge","Gray Partridge","GRPA","grypar","GRPA","GRAP","PEPE","Perdix perdix"
"GRSC","Greater Scaup","Greater Scaup","GRSC","gresca","","GRSC","AYMA","Aythya marila"
"GRSP","Grasshopper Sparrow","Grasshopper Sparrow","GRSP","graspa","","GRSP","AMSA","Ammodramus savannarum"
"GRYE","Greater Yellowlegs","Greater Yellowlegs","GRYE","greyel","","GRYE","TRME","Tringa melanoleuca"
