"speciesCode","comNameCode","bandingCode","comName","sciNameCode","sciName","familyComName","familySciName","familyCode","order"
"semplo","","SEPL","Semipalmated Plover","CHSE","Charadrius semipalmatus","Plovers and Lapwings","Charadriidae","charad1","Charadriiformes"
"whimbr","EUWH","WHIM","Whimbrel","NUPH","Numenius phaeopus","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"lobcur","","LBCU","Long-billed Curlew","NUAM","Numenius americanus","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"margod","","MAGO","Marbled Godwit","LIFE","Limosa fedoa","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"shbdow","","SBDO","Short-billed Dowitcher","LIGR","Limnodromus griseus","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"lobdow","","LBDO","Long-billed Dowitcher","LISC","Limnodromus scolopaceus","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"wilsni1","","WISN","Wilson's Snipe","GADE","Gallinago delicata","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"wilpha","","WIPH","Wilson's Phalarope","PHTR","Phalaropus tricolor","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"renpha","","RNPH","Red-necked Phalarope","PHLO","Phalaropus lobatus","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"sposan","","SPSA","Spotted Sandpiper","ACMA","Actitis macularius","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"solsan","","SOSA","Solitary Sandpiper","TRSO","Tringa solitaria","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"lesyel","","LEYE","Lesser Yellowlegs","TRFL","Tringa flavipes","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"willet1","","WILL","Willet","TRSE","Tringa semipalmata","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"greyel","","GRYE","Greater Yellowlegs","TRME","Tringa melanoleuca","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"blktur","","BLTU","Black Turnstone","ARME","Arenaria melanocephala","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"bubsan","","BBSA","Buff-breasted Sandpiper","CASU","Calidris subruficollis","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"sander","","SAND","Sanderling","CAAL","Calidris alba","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"dunlin","","DUNL","Dunlin","CAAL","Calidris alpina","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"baisan","","BASA","Baird's Sandpiper","CABA","Calidris bairdii","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"leasan","","LESA","Least Sandpiper","CAMI","Calidris minutilla","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"pecsan","","PESA","Pectoral Sandpiper","CAME","Calidris melanotos","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"wessan","","WESA","Western Sandpiper","CAMA","Calidris mauri","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"semsan","","SESA","Semipalmated Sandpiper","CAPU","Calidris pusilla","Sandpipers and Allies","Scolopacidae","scolop2","Charadriiformes"
"parjae","ARJA ARSK","PAJA","Parasitic Jaeger","STPA","Stercorarius parasiticus","Skuas and Jaegers","Stercorariidae","sterco1","Charadriiformes"
"marmur","","MAMU","Marbled Murrelet","BRMA","Brachyramphus marmoratus","Auks, Murres, and Puffins","Alcidae","alcida1","Charadriiformes"
"piggui","","PIGU","Pigeon Guillemot","CECO","Cepphus columba","Auks, Murres, and Puffins","Alcidae","alcida1","Charadriiformes"
"sabgul","","SAGU","Sabine's Gull","XESA","Xema sabini","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes"
"bongul","","BOGU","Bonaparte's Gull","CHPH","Chroicocephalus philadelphia","Gulls, Terns, and Skimmers","Laridae","larida1","Charadriiformes"
