"speciesCode","comNameCode","bandingCode","comName","sciNameCode","sciName","familyComName","familySciName","familyCode","order"
"sursco","","SUSC","Surf Scoter","MEPE","Melanitta perspicillata","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"whwsco2","","WWSC","White-winged Scoter","MEDE","Melanitta deglandi","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00882","WWSC SUSC","","Surf x White-winged Scoter (hybrid)","MEDE MEPE","Melanitta perspicillata x deglandi","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"blksco2","","BLSC","Black Scoter","MEAM","Melanitta americana","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"lotduc","","LTDU","Long-tailed Duck","CLHY","Clangula hyemalis","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"buffle","","BUFF","Bufflehead","BUAL","Bucephala albeola","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"comgol","","COGO","Common Goldeneye","BUCL","Bucephala clangula","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00655","BUFF COGO","","Bufflehead x Common Goldeneye (hybrid)","BUAL BUCL","Bucephala albeola x clangula","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"x00909","BUFF","","Bufflehead x goldeneye sp. (hybrid)","BUAL","Bucephala albeola x clangula/islandica","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"bargol","","BAGO","Barrow's Goldeneye","BUIS","Bucephala islandica","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"cxbgol1","BAGO COGO","","Common x Barrow's Goldeneye (hybrid)","BUIS BUCL","Bucephala clangula x islandica","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"smew","","SMEW","Smew","MEAL","Mergellus albellus","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
"hoomer","","HOME","Hooded Merganser","LOCU","Lophodytes cucullatus","Ducks, Geese, and Waterfowl","Anatidae","anatid1","Anseriformes"
