"alphaCode_bc","bandingCode","comNameCode","speciesCode","comName","comName_ebird"
"PIGR","PIGR","","pingro","Pine Grosbeak","Pine Grosbeak"
"PIGU","PIGU","","piggui","Pigeon Guillemot","Pigeon Guillemot"
"PISI","PISI","","pinsis","Pine Siskin","Pine Siskin"
"PIWO","PIWO","","pilwoo","Pileated Woodpecker","Pileated Woodpecker"
"POWA","PROW","PRWA","prowar","Prothonotary Warbler","Prothonotary Warbler"
"PRFA","PRFA","","prafal","Prairie Falcon","Prairie Falcon"
"PSFL","","","","Pacific-slope Flycatcher",""
"PUFI","PUFI","","purfin","Purple Finch","Purple Finch"
"PUMA","PUMA","","purmar","Purple Martin","Purple Martin"
"PYNU","PYNU","","pygnut","Pygmy Nuthatch","Pygmy Nuthatch"
"RBGR","RBGR","","robgro","Rose-breasted Grosbeak","Rose-breasted Grosbeak"
"RBGU","RBGU","","ribgul","Ring-billed Gull","Ring-billed Gull"
"RBME","RBME","","rebmer","Red-breasted Merganser","Red-breasted Merganser"
"RBNU","RBNU","","rebnut","Red-breasted Nuthatch","Red-breasted Nuthatch"
"RBSA","RBSA","","rebsap","Red-breasted Sapsucker","Red-breasted Sapsucker"
"RCKI","RCKI","","ruckin","Ruby-crowned Kinglet","Ruby-crowned Kinglet"
"RECR","RECR","COCR","redcro","Red Crossbill","Red Crossbill"
"REDH","REDH","","redhea","Redhead","Redhead"
"","","REDH","x00681","Redhead x scaup sp. (hybrid)",""
"REVI","REVI","","reevir1","Red-eyed Vireo","Red-eyed Vireo"
"RHAU","RHAU","","rhiauk","Rhinoceros Auklet","Rhinoceros Auklet"
"RNDU","RNDU","","rinduc","Ring-necked Duck","Ring-necked Duck"
"","","RNDU","x00682","Ring-necked Duck x scaup sp. (hybrid)",""
"RNGR","RNGR","","rengre","Red-necked Grebe","Red-necked Grebe"
"RNPH","RNEP","RNPH COPH","rinphe1","Ring-necked Pheasant","Ring-necked Pheasant"
"RNPL","RNPH","","renpha","Red-necked Phalarope","Red-necked Phalarope"
"RNSA","RNSA","","rensap","Red-naped Sapsucker","Red-naped Sapsucker"
"ROPI","","ROPI RODO","rocpig","Rock Pigeon","Rock Pigeon"
"ROPT","ROPT","","rocpta1","Rock Ptarmigan","Rock Ptarmigan"
"ROWR","ROWR","ARWR","rocwre","Rock Wren","Rock Wren"
"RTHA","RTHA","","rethaw","Red-tailed Hawk","Red-tailed Hawk"
"RTHU","RTHU","","rthhum","Ruby-throated Hummingbird","Ruby-throated Hummingbird"
"RTLO","RTLO","RTDI","retloo","Red-throated Loon","Red-throated Loon"
"RUBL","RUBL","","rusbla","Rusty Blackbird","Rusty Blackbird"
"RUDU","RUDU","","rudduc","Ruddy Duck","Ruddy Duck"
"RUGR","RUGR","","rufgro","Ruffed Grouse","Ruffed Grouse"
"","RUFF","","ruff","Ruff",""
"RUHU","RUHU","","rufhum","Rufous Hummingbird","Rufous Hummingbird"
"RWBL","RWBL","","rewbla","Red-winged Blackbird","Red-winged Blackbird"
"SACR","SACR","","sancra","Sandhill Crane","Sandhill Crane"
"SAHY","","","","Sapsucker hybrid",""
"SAPH","SAPH","","saypho","Say's Phoebe","Say's Phoebe"
"SAPS","","","","Unknown Sapsucker",""
"SATH","SATH","","sagthr","Sage Thrasher","Sage Thrasher"
"SAVS","SAVS","SASP SBBS","savspa","Savannah Sparrow","Savannah Sparrow"
"SBDO","SBDO","","shbdow","Short-billed Dowitcher","Short-billed Dowitcher"
"SEOW","SEOW","","sheowl","Short-eared Owl","Short-eared Owl"
"SEPL","SEPL","","semplo","Semipalmated Plover","Semipalmated Plover"
"SIPH","","SIPH","silphe","Silver Pheasant","Silver Pheasant"
"SKLA","","","","Sky Lark",""
"SMLO","SMLO","","smilon","Smith's Longspur","Smith's Longspur"
"SNBU","SNBU","","snobun","Snow Bunting","Snow Bunting"
"SNGO","SNGO","","snogoo","Snow Goose","Snow Goose"
"SOGR","SOGR","","soogro1","Sooty Grouse","Sooty Grouse"
"SORA","SORA","","sora","Sora","Sora"
"SOSA","SOSA","","solsan","Solitary Sandpiper","Solitary Sandpiper"
"SOSP","SOSP","","sonspa","Song Sparrow","Song Sparrow"
"SPGR","SPGR","","sprgro","Spruce Grouse","Spruce Grouse"
"SPOW","SPOW","","spoowl","Spotted Owl","Spotted Owl"
"SPPI","SPPI","","sprpip","Sprague's Pipit","Sprague's Pipit"
"SPSA","SPSA","","sposan","Spotted Sandpiper","Spotted Sandpiper"
"SPTO","SPTO","","spotow","Spotted Towhee","Spotted Towhee"
"SSHA","SSHA","SSBB","shshaw","Sharp-shinned Hawk","Sharp-shinned Hawk"
"STGR","STGR","","shtgro","Sharp-tailed Grouse","Sharp-tailed Grouse"
"STJA","STJA","","stejay","Steller's Jay","Steller's Jay"
"SUSC","SUSC","","sursco","Surf Scoter","Surf Scoter"
"SUTA","SUTA","","sumtan","Summer Tanager","Summer Tanager"
"SWHA","SWHA","","swahaw","Swainson's Hawk","Swainson's Hawk"
"SWSP","SWSP","","swaspa","Swamp Sparrow","Swamp Sparrow"
"SWTH","SWTH","RBTH","swathr","Swainson's Thrush","Swainson's Thrush"
"TBMU","TBMU","BRGU","thbmur","Thick-billed Murre","Thick-billed Murre"
"TEWA","TEWA","","tenwar","Tennessee Warbler","Tennessee Warbler"
"TOSO","TOSO","","towsol","Townsend's Solitaire","Townsend's Solitaire"
"TOWA","TOWA","","towwar","Townsend's Warbler","Townsend's Warbler"
"TRSW","TRES","TRSW","treswa","Tree Swallow","Tree Swallow"
"TRUS","TRUS","TRSW","truswa","Trumpeter Swan","Trumpeter Swan"
"TUPU","TUPU","","tufpuf","Tufted Puffin","Tufted Puffin"
